0,1,2,3,4,5,6
name,RA,DEC,zlens,type,rank,ref
J0011-0845,2.83435,-8.7643,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
J0013+5119,3.348077,51.3183,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
PSJ0028+0631,7.09369,6.5317,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
PSJ0030-1525,7.5636,-15.4177,measured,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
J0047+2514,11.9465943,25.2411,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
HE0047-1756,12.6158,-17.6693,0.407,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
DESJ0053-2012,13.4349,-20.2091,observed,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
J0102+2445,15.69675,24.7544,0.272?,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
DESJ0112-1650,18.141188,-16.840955,0.54,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
SDSSJ0114+0722,18.6598,7.3747,0.408,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
DESJ0115-5244,18.98883,-52.73978,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
PSJ0123-0455,20.841,-4.93275,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
J0124-0033,21.239432,-0.5532,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
B0128+437,22.80585,43.97032,1.145?,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
PMNJ0134-0931,23.64858,-9.51747,0.765,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
J0140-1152,25.01251,-11.87206,0.28,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
PSJ0140+4107,25.2042,41.13331,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
Q0142-100,26.3194,-9.75475,0.491,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
J0146-1133,26.6369,-11.5608,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
PSJ0147+4630,26.79231,46.5118,0.678,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
DESJ0150-4041,27.7372,-40.6956,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
QJ0158-4325,29.6724,-43.4178,0.317,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
J0203+1612,30.9975,16.2024,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
WG0214-2105,33.568125,-21.093072,0.45?,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
OGLEJ0218-7335,34.55142,-73.59328,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
B0218+357,35.27285,35.93716,0.685,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
J0228+3953,37.0462437,39.8853563,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
HE0230-2130,38.13829,-21.29046,0.523,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
J0235-2433,38.8642,-24.5538,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
DESJ0245-0556,41.356506,-5.9499,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
J0246-1845,41.5508333,-18.7513889,-,galaxy,confirmed,https://research.ast.cam.ac.uk/lensedquasars/index.html
